time,Q_1397,P_1397
2019-01-02T00:00:00,88.88575488145959,0.28999999165534973
2019-01-03T00:00:00,40.37039964170601,1.9900000095367432
2019-01-04T00:00:00,21.21477294956446,0.03999999910593033
2019-01-05T00:00:00,11.420325553703897,0.0
2019-01-06T00:00:00,6.2081032029547,0.7300000190734863
2019-01-07T00:00:00,3.378392643757571,0.0
2019-01-08T00:00:00,1.8246133460672047,0.009999999776482582
2019-01-09T00:00:00,0.9722575913545924,4.570000171661377
2019-01-10T00:00:00,0.5097688067273597,0.2199999988079071
2019-01-11T00:00:00,0.2628458904062042,0.009999999776482582
2019-01-12T00:00:00,0.13349314363938863,0.0
2019-01-13T00:00:00,0.06710925813422769,0.9900000095367432
2019-01-14T00:00:00,0.03339232113022893,14.5
2019-01-15T00:00:00,0.01650638856198092,4.25
2019-01-16T00:00:00,0.008003928610464206,0.0
2019-01-17T00:00:00,0.003853099478299215,0.019999999552965164
2019-01-18T00:00:00,0.0019238283347358415,0.46000000834465027
2019-01-19T00:00:00,0.0009250679899244712,0.0
2019-01-20T00:00:00,0.00039485986223393904,0.0
2019-01-21T00:00:00,0.00015792581490994988,0.029999999329447746
2019-01-22T00:00:00,4.801302630547748e-5,0.0
2019-01-23T00:00:00,1.1831767804564057e-5,0.009999999776482582
2019-01-24T00:00:00,8.194688145563713e-6,0.8199999928474426
2019-01-25T00:00:00,3.3404019338287175e-6,0.0
2019-01-26T00:00:00,4.777746612804469e-8,0.10000000149011612
2019-01-27T00:00:00,1.4507235137862105e-7,0.1599999964237213
2019-01-28T00:00:00,4.1743641242147467e-7,0.10999999940395355
2019-01-29T00:00:00,2.211396379363113e-7,0.009999999776482582
2019-01-30T00:00:00,3.9938277069816666e-8,0.029999999329447746
2019-01-31T00:00:00,7.45086949773209e-8,1.6699999570846558
2019-02-01T00:00:00,2.6395818211140104e-7,1.0
2019-02-02T00:00:00,4.2413418284124226e-7,8.9399995803833
2019-02-03T00:00:00,1.9417325279779414e-7,0.5799999833106995
2019-02-04T00:00:00,5.614095826244641e-9,0.019999999552965164
2019-02-05T00:00:00,1.143700556577433e-8,0.0
2019-02-06T00:00:00,4.5097924576741194e-8,0.0
2019-02-07T00:00:00,4.856659879150236e-8,0.1599999964237213
2019-02-08T00:00:00,2.6850353414982444e-8,0.0
2019-02-09T00:00:00,1.606477515212635e-8,0.0
2019-02-10T00:00:00,1.720884664180265e-8,0.0
2019-02-11T00:00:00,3.709854145803956e-8,3.740000009536743
2019-02-12T00:00:00,4.046324007919912e-8,1.7400000095367432
2019-02-13T00:00:00,1.5756213688645797e-8,0.0
2019-02-14T00:00:00,6.0805687270743186e-9,0.03999999910593033
2019-02-15T00:00:00,8.53726267579249e-9,0.0
2019-02-16T00:00:00,1.2789237076346806e-8,0.0
2019-02-17T00:00:00,1.2178761698340814e-8,0.0
2019-02-18T00:00:00,8.942889501349195e-9,0.0
2019-02-19T00:00:00,7.106088054742188e-9,0.0
2019-02-20T00:00:00,6.921374695648756e-9,0.0
2019-02-21T00:00:00,6.971955162522846e-9,0.0
2019-02-22T00:00:00,6.461590116518381e-9,0.0
2019-02-23T00:00:00,5.675638520778374e-9,0.019999999552965164
2019-02-24T00:00:00,5.0803352455273575e-9,0.0
2019-02-25T00:00:00,4.73068876433678e-9,0.0
2019-02-26T00:00:00,4.445938122056587e-9,0.0
2019-02-27T00:00:00,4.11812899836822e-9,0.0
2019-02-28T00:00:00,3.776772443334645e-9,0.0
2019-03-01T00:00:00,3.4788215439977093e-9,0.0
2019-03-02T00:00:00,3.232262221584509e-9,0.0
2019-03-03T00:00:00,3.012589457599805e-9,0.0
2019-03-04T00:00:00,2.8030917518230687e-9,0.0
2019-03-05T00:00:00,2.6052467857586726e-9,0.23000000417232513
2019-03-06T00:00:00,2.4252573157864938e-9,0.009999999776482582
2019-03-07T00:00:00,2.2634651471432936e-9,0.07999999821186066
2019-03-08T00:00:00,2.1157219439923378e-9,0.4399999976158142
2019-03-09T00:00:00,1.9786956957702674e-9,0.0
2019-03-10T00:00:00,1.8515836015472854e-9,0.49000000953674316
2019-03-11T00:00:00,1.7344648805102656e-9,0.4399999976158142
2019-03-12T00:00:00,1.6267807341688509e-9,0.0
2019-03-13T00:00:00,1.5273891164793275e-9,0.0
2019-03-14T00:00:00,2.9247469819516574e-9,1.1100000143051147
2019-03-15T00:00:00,6.382925982531943e-9,10.640000343322754
2019-03-16T00:00:00,1.0308294638759111e-8,9.6899995803833
2019-03-17T00:00:00,6.371916469000117e-9,0.0
2019-03-18T00:00:00,5.402629088377051e-10,0.20999999344348907
2019-03-19T00:00:00,1.196197214517634e-10,0.03999999910593033
2019-03-20T00:00:00,8.390512330521362e-10,0.18000000715255737
2019-03-21T00:00:00,1.5331776601179212e-9,0.0
2019-03-22T00:00:00,1.2596488910536775e-9,0.0
2019-03-23T00:00:00,7.629951191465851e-10,0.0
2019-03-24T00:00:00,6.199160129363488e-10,0.0
2019-03-25T00:00:00,7.182346688034657e-10,0.0
2019-03-26T00:00:00,7.951812308126376e-10,0.0
2019-03-27T00:00:00,7.421550686862758e-10,0.07999999821186066
2019-03-28T00:00:00,6.455423211935382e-10,0.3799999952316284
2019-03-29T00:00:00,5.924448021829921e-10,0.07000000029802322
2019-03-30T00:00:00,5.806073704427919e-10,0.0
2019-03-31T00:00:00,5.70301301496547e-10,0.0
